Publication Title,PMID,Number of patients,Type of intervention,Drug(s)/Vaccine(s) - if used,"Start date
(if known)","End date 
(if known)","Duration
(in days)",Meta-analysis (Y/N),Type of trial,Retrospective/ Prospective,Geographic location,Date of publication
"Prevalence of severe adverse events among health professionals after receiving the first dose of the ChAdOx1 nCoV-19 coronavirus vaccine (Covishield) in Togo, March 2021",34819146,"1,639",Vaccine,,13-Mar-21,19-Mar-21,7,No,Cross-sectional study,,"Lomé, Togo",24-Nov-21
Intermediate-to-therapeutic versus prophylactic anticoagulation for coagulopathy in hospitalized COVID-19 patients: a systemic review and meta-analysis,34819094,"28,055",Drug(s),Anticoagulation drugs,,,,Yes,Systemic review and Meta-analysis,,,24-Nov-21
Oral booster probiotic bifidobacteria in SARS-COV-2 patients,34818923,44,Probiotic,,1-Nov-20,15-Jan-21,76,No,Single-centered study,Retrospective,"Istanbul, Turkey",25-Nov-21
Early Transfusion of Convalescent Plasma Improves the Clinical Outcome in Severe SARS-CoV2 Infection,34817840,267,Plasma (CCP therapy),,,,,No,Interventional cohort study,Prospective,"Budapest, Hungary",24-Nov-21
Pediatric Inflammatory Multisystem Syndrome Temporally Associated with SARS-CoV-2,34817811,65,Drug(s), Methylprednisolone | Oxygen support | Mechanical ventilation | IV immunoglobulin ,,,,No,Cohort study,,"Tamil Nadu, India",24-Nov-21
Time-Dependent COVID-19 Mortality in Patients With Cancer: An Updated Analysis of the OnCovid Registry,34817562,"2,634",Anticancer therapy | Anti-COVID-19 therapy,,27-Feb-20,14-Feb-21,354,No,"Multi-centered, case series study",Prospective,"UK, Italy, Spain, France, Belgium, and Germany",24-Nov-21
Comparing efficacy and safety of different doses of dexamethasone in the treatment of COVID-19: a three-arm randomized clinical trial,34837648,133,Drug(s),Dexamethasone,26-Oct-20,25-Jan-21,92,No,Randomized-controlled Trial,Prospective,"Tehran, Iran",27-Nov-21
Clinical characteristics and hematological parameters associated with disease severity in COVID-19 positive pregnant women undergoing cesarean section: A single-center experience,34837446,110,Other,,1-Apr-20,1-Jun-21,427,No,Cohort study,Retrospective,"Adana, Turkey",27-Nov-21
Chlorhexidine mouthwash reduces the salivary viral load of SARS-CoV-2: a randomized clinical trial,34837305,100,Drug(s),Chlorhexidine,18-Dec-20,31-Jan-21,45,No,"Randomized, double-blind, placebo-controlled trial",Prospective,"Salvador, Brazil",26-Nov-21
Worldwide prevalence of microbial agents' coinfection among COVID-19 patients: A comprehensive updated systematic review and meta-analysis,34851526,"61,547",None/Observatory,,1-Dec-19,23-Aug-21,632,Yes,Systematic Review and Meta-Analysis,,,1-Dec-21
Factors Associated With COVID-19 Vaccine Receipt by Health Care Personnel at a Major Academic Hospital During the First Months of Vaccine Availability,34851399,"12,610",Vaccine,,16-Dec-20,16-Apr-21,122,No,Cross-sectional study,,"Philadelphia, USA",1-Dec-21
Correlation of the Commercial Anti-SARS-CoV-2 Receptor Binding Domain Antibody Test with the Chemiluminescent Reduction Neutralizing Test and Possible Detection of Antibodies to Emerging Variants,34851163,482,Other,,,,,No,,,"Toyama, Japan",1-Dec-21
Age-Dependent Reduction in Neutralization against Alpha and Beta Variants of BNT162b2 SARS-CoV-2 Vaccine-Induced Immunity,34851162,740,Vaccine,,,,,No,,,"Toyama, Japan",1-Dec-21
Implementation and Accuracy of BinaxNOW Rapid Antigen COVID-19 Test in Asymptomatic and Symptomatic Populations in a High-Volume Self-Referred Testing Site,34851137,"6,099",Other,,23-Dec-20,11-Jan-21,20,No,Cohort study,Prospective,"Maryland, USA",1-Dec-21
Cohort study: the accuracy of screening methods of COVID-19 in pregnancy,34851075,141,Other,,,,,No,Cohort study,,"Surabaya, Indonesia",1-Dec-21
Gene Expression Risk Scores for COVID-19 Illness Severity,34850892,53,Other,,30-Apr-20,29-Jun-20,61,No,Cohort study,,"NY, USA",30-Nov-21
"COVID-19 infection risk amongst 14,104 vaccinated care home residents: a national observational longitudinal cohort study in Wales, UK, December 2020-March 2021",34850818,"14,104",Other,,4-Dec-20,4-Mar-21,91,No,Observational longitudinal cohort study,,"Wales, UK",17-Nov-21
Antibody responses to BNT162b2 mRNA vaccine: infection-naïve individuals with abdominal obesity warrant attention,34850576,"1,060",Other,,,,,No,Observational  cohort study,Prospective,"Milan, Italy",30-Nov-21
Low clinical utility of testing for anti-platelet factor 4 in asymptomatic individuals after ChAdOx1 nCoV-19 vaccine,34850575,129,Other,,12-Apr-21,18-Apr-21,7,No,Cohort study,Prospective,"( Jazan & Jeddah), Saudi Arabia",30-Nov-21
"Public screening for COVID-19 in Wuhan, China and beware of the antibody positive in women and tumor patients",34850404,"21,398",Other,,1-Mar-20,30-Jun-20,122,No,Cohort study,,"Wuhan, China",1-Dec-21
Euthyroid sick syndrome as an early surrogate marker of poor outcome in mild SARS-CoV-2 disease,34850365,506,Other,,1-Apr-20,31-May-21,426,No,Cohort study,Prospective,"Florence, Italy",1-Dec-21
Evaluation of ECLIA antigen detection tests as screening methods for COVID-19 in comparison with molecular analysis,34850319,110,Other,,,,,No,Observational study,Retrospective,"Rome, Italy",30-Nov-21
Severity of SARS-CoV-2 infection is linked to double-negative (CD27 - IgD -) B cell subset numbers,34850243,106,Other,,,,,No,Cohort study,,"Mexico City, Mexico",30-Nov-21
Risk factors and incidence of Long-COVID syndrome in hospitalized patients: does remdesivir have a protective effect?,34850210,449,Other ,,10-Mar-20,15-Jan-21,312,No,Cohort study,Prospective,"Vercelli, Italy",26-Nov-21
"Surface and air contamination with SARS-CoV-2 from hospitalized COVID-19 patients in Toronto, Canada, March-May 2020",34850051,78,Other,,,,,No,Cohort study,Prospective,"Toronto, Canada",27-Nov-21
Immune responses to the ChAdOx1 nCoV-19 and BNT162b2 vaccines and to natural COVID-19 infections over a three-month period,34850034,147,Other,,5-Mar-21,25-Mar-21,21,No,Comparative study,,"Seoul, South Korea",25-Nov-21
Infants younger than 6 months old infected by SARS-CoV-2 show the highest respiratory viral loads,34850028,"45,318",Other,,,,,No,Cohort study,Retrospective,"Buenos Aires, Argentina",24-Nov-21
Evaluation of the effect of sofosbuvir and daclatasvir in hospitalized COVID-19 patients: a randomized double-blind clinical trial (DISCOVER),34849957,"1,083",Drug(s),Sofosbuvir | Daclatasvir,,,,No,Randomized controlled trial,Prospective,Iran,28-Nov-21
Retrospective modelling of hospital bed capacities associated with the administration of remdesivir during the first wave of COVID-19 in a German metropolitan city,34849943,576,Drug(s),Remedesivir,2-Mar-20,30-Sep-20,213,No,,Retrospective,"Cologne, Germany",25-Nov-21
Anti-SARS-CoV-2 Vaccination and Antibody Response in Patients With Inflammatory Bowel Disease on Immune-modifying Therapy: Prospective Single-Tertiary Study,34849919,770,Vaccine,Pfizer-BioNTech | Moderna | AstraZeneca,,,,No,Cohort study,Prospective," Prague, Czech Republic",29-Nov-21
Multisystem Inflammatory Syndrome in Adults after SARS-CoV-2 infection and COVID-19 vaccination,34849680,20,Other,,14-Dec-20,30-Apr-21,138,No,Comparative study,Retrospective,USA,28-Nov-21
A Higher Antibody Response Is Generated With a 6- to 7-Week (vs Standard) Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Vaccine Dosing Interval,34849655,186,Other,,,,,No,Observational cohort study,Prospective,Canada,30-Nov-21
"Efficacy of Early Treatment with Favipiravir on Disease Progression among High Risk COVID-19 Patients: A Randomized, Open-Label Clinical Trial",34849615,500,Drug(s),Favipiravir,,,,No,Randomized controlled trial,Prospective,Malaysia,19-Nov-21
Real-world effectiveness of the mRNA-1273 vaccine against COVID-19: Interim results from a prospective observational cohort study,34849505,"705,756",Other,,18-Dec-20,30-Jun-21,195,No,Observational cohort study,Prospective,USA,25-Nov-21
Real world evidence of calcifediol or vitamin D prescription and mortality rate of COVID-19 in a retrospective cohort of hospitalized Andalusian patients,34862422,"15,968",None/Observatory,,,,,No,Cohort study,Retrospective,Spain,3-Dec-21
A low aldosterone/renin ratio and high soluble ACE2 associate with COVID-19 severity,34862332,188,None/Observatory,,,,,No,Observational study,Retrospective,"The Hague, The Netherlands",1-Dec-21
SARS-CoV-2 antibody changes in patients receiving COVID-19 convalescent plasma from normal and vaccinated donors,34862140,25,Plasma,,,,,No,"
Observational study",Retrospective,"IA, USA",23-Nov-21
Incidence of COVID-19 in patients treated with infliximab compared with patients treated with rituximab,34862310,190,Drug(s),Infliximab | Rituximab,1-Mar-19,29-Feb-20,366,No,Observational cohort study,Retrospective,"Geneva, Switzerland",3-Dec-21
Nonthyroidal illness syndrome (NTIS) in severe COVID-19 patients: role of T3 on the Na/K pump gene expression and on hydroelectrolytic equilibrium,34861865,170,Other,,,,,No,,,"Rome, Italy",3-Dec-21
Role of targeted therapies in rheumatic patients on COVID-19 outcomes: results from the COVIDSER study,34887346,426,None/Observatory,,1-Mar-20,13-Apr-21,409,No,"Observational, cohort study",Retrospective,Spain,9-Dec-21
Interpretations of SARS-CoV-2 IgM and IgG antibody titers in the seroepidemiological study of asymptomatic healthy volunteers,34887175,"10,039",Other,,11-Jun-20,22-Dec-20,195,No,,,"Tokyo, Japan",7-Dec-21
"Extracorporeal membrane oxygenation support for SARS-CoV-2: a multi-centered, prospective, observational study in critically ill 92 patients in Saudi Arabia",34886916,"1,491",Oxygen support,,1-Mar-20,30-Oct-20,244,No," Multi-centered, observational, cohort study",Prospective,"Riyadh, Saudi Arabia",9-Dec-21
Coronavirus Disease 2019 Outcomes Among Recipients of Anti-CD20 Monoclonal Antibodies for Immune-Mediated Diseases: A Comparative Cohort Study,34890478,673,Other,,31-Jan-20,31-Jan-21,367,No,"Comparative, cohort study",Retrospective,"Massachusetts, USA",10-Dec-21
"COVID-19 symptoms at time of testing and association with positivity among outpatients tested for SARS-CoV-2
",34890441,"20,177",Other,,16-Mar-20,3-Sep-20,172,No,,,Southeastern United States,10-Dec-21
"Seroprevalence of IgG antibodies against SARS-CoV-2 among the general population and healthcare workers in India, June-July 2021: A population-based cross-sectional study",34890407,"36,227",Other,,14-Jun-21,6-Jul-21,23,No, Population-based cross-sectional study,,India,10-Dec-21
A rapid real-time polymerase chain reaction-based live virus microneutralization assay for detection of neutralizing antibodies against SARS-CoV-2 in blood/serum,34890401,19,Other,,,,,No,,,"Karachi, Pakistan",10-Dec-21
Nosocomial Outbreak of SARS-CoV-2 in a Non-COVID Zone of a Tertiary Care Hospital of North India: Need to Upgrade Infection Control Practices,34889120,34,Other,,19-Dec-20,12-Jan-21,25,No,,,"Chandigarh, India",10-Dec-21
N-Terminal Pro-B-Type Natriuretic Peptide as a Biomarker for the Severity and Outcomes With COVID-19 in a Nationwide Hospitalized Cohort,34889112,"17,714",Other,,23-Jan-20,28-Nov-20,311,No,Observational cohort study,Prospective,"California, USA",10-Dec-21
"Angiotensin-Converting Enzyme Inhibitors, Angiotensin II Receptor Blockers, and Outcomes in Patients Hospitalized for COVID-19",34889102,"1,686",Drug(s),ACEi | ARB,1-Feb-20,1-Jun-21,487,No,Cohort study,Prospective,"Michigan, USA",10-Dec-21
Comorbidities of Primary Care patients with COVID-19 during the first wave of the SARS-CoV-2 pandemic in the Community of Madrid,34889087,"388,446",Other,,25-Feb-20,31-May-20,97,No,Observational study,Retrospective ,"Madrid, Spain",10-Dec-21
Using NEWS2 to triage newly admitted patients with COVID-19,34889010,200,Other,,29-Jan-20,23-Mar-20,55,No,"Single-centre, observational, case–control study ",Retrospective ,"Wuhan, China",9-Dec-21
Reduced magnitude and durability of humoral immune responses to COVID-19 mRNA vaccines among older adults,34888688,151,Vaccine,Pfizer/BioNTech BNT162b2 | Moderna mRNA-1273,,,,No,"Longitudinal, cohort study",Prospective,"British Coloumbia, Canada",9-Dec-21
"Comparative immunogenicity and effectiveness of mRNA-1273, BNT162b2 and Ad26.COV2.S COVID-19 vaccines",34888672,"1,677",Other,,,,,Yes,Meta-Analysis,,"Massachusetts, USA",9-Dec-21
Factors Associated for Mortality of Older People With COVID 19: A Systematic Review and Meta-analysis,34888405,"285,650",Other,,,,,Yes,Systematic review and Meta-analysis,,,1-Dec-21
"US201 Study: A Phase 2, Randomized Proof-of-Concept Trial of Favipiravir for the Treatment of COVID-19",34888401,50,Drug(s),Favipiravir,,,,No,"Phase 2, randomized, controlled trial",Prospective,"MA, USA",7-Dec-21
Bamlanivimab Efficacy in Older and High-BMI Outpatients With COVID-19 Selected for Treatment in a Lottery-Based Allocation Process,34888396,"1,257",Drug(s),Bamlanivimab ,9-Dec-20,25-Feb-21,79,No,Case-control study,Retrospective,USA,3-Nov-21
A Multidimensional Cross-Sectional Analysis of Coronavirus Disease 2019 Seroprevalence Among a Police Officer Cohort: The PoliCOV-19 Study,34888394,978,Other,,21-Dec-20,9-Mar-21,79,No,Cross-sectional study,,"Bern, Switzerland",16-Oct-21
Clinical Features of Early Stage COVID-19 in a Primary Care Setting,34888326,481,Other,,1-Jan-21,31-Jan-21,31,No,,Retrospective,"Kamagaya, Japan",23-Nov-21
Assessment of Sequelae of COVID-19 Nearly 1 Year After Diagnosis,34888318,120,Other,,29-Jan-20,11-Jan-21,349,No,Cohort study,Prospective,"Wuhan, China",23-Nov-21
The MUC5B Promoter Polymorphism Associates With Severe COVID-19 in the European Population,34888316,108,Other,,19-Mar-20,5-May-20,48,Yes,"Candidate gene case-control, cohort study",Retrospective,Netherlands,23-Nov-21
"Circulating ubiquitous RNA, a highly predictive and prognostic biomarker in hospitalized COVID-19 patients",34894121,139,Other,,19-Mar-20,26-Jun-20,100,No,Cohort study,Retrospective,"Paris, France",11-Dec-21
Case Series: Convalescent Plasma Therapy for Patients with COVID-19 and Primary Antibody Deficiency,34893946,16,Plasma,,,,,No,Cohort study,Retrospective,"USA, Germany, and Italy",10-Dec-21
Clinical performance of a standardized SARS-CoV-2 interferon-γ release assay for simple detection of T-cell responses after infection or vaccination,34893816,239,Other,,15-Mar-21,8-Jul-21,116,No,Cross-sectional study,Prospective,Spain,10-Dec-21
Rate and Risk Factors for Severe/Critical Disease Among Fully Vaccinated Persons with Breakthrough SARS-CoV-2 Infection in a High-risk National Population,34893812,"3,456",Other,,15-Dec-20,30-Jun-21,198,No,,,USA,10-Dec-21
Serological responses and vaccine effectiveness for extended COVID-19 vaccine schedules in England,34893611,750,Other,,,,,No,Cohort study,Prospective,"London, UK",10-Dec-21
Endothelial dysfunction contributes to severe COVID-19 in combination with dysregulated lymphocyte responses and cytokine networks,34893580,42,Other,,,,,No,Observational study,Prospective,"Hanover, Germany",10-Dec-21
Severity of COVID-19 and adverse long-term outcomes: a retrospective cohort study based on a US electronic health record database,34893488,"57,748",Other,,20-Feb-20,4-Jul-20,136,No,Cohort study,Retrospective,USA,10-Dec-21
Immunogenicity of a third dose viral-vectored COVID-19 vaccine after receiving two-dose inactivated vaccines in healthy adults,34893344,549,Vaccine,,3-Mar-21,24-Aug-21,175,No,Cohort study,,"Bangkok, Thailand",3-Dec-21
Humoral anti-SARS-CoV-2 immune response after two doses of Comirnaty vaccine in nursing home residents by previous infection status,34893341,77,Other,,,,,No,Cohort study,Prospective,"Amiens, France",3-Dec-21
Red flags of poor prognosis in pediatric cases of COVID-19: the first 6610 hospitalized children in Iran,34893036,"6,610",Other,,19-Feb-20,13-Nov-20,269,No,Cross-sectional study,,"Tehran, Iran",10-Dec-21
