Publication Title,PMID,Number of patients,Type of intervention,Drug(s)/Vaccine(s) - if used,"Start date
(if known)","End date 
(if known)","Duration
(in days)",Meta-analysis (Y/N),Type of trial,Retrospective/ Prospective,Geographic location,Date of publication
"Viral load dynamics and disease severity in patients infected with SARS-CoV-2 in Zhejiang province, China, January-March 2020: retrospective cohort study.",32317267,96,Drug(s) | Other,Favipiravir | Empirical antibiotics | Lopinavir/ritonavir | Darunavir/cobicistat | Interferon-α | Arbidol | Glucocorticoids,1-Jan-20,1-Mar-20,61,No,,Retrospective,"Zhejiang, China",21 Apirl 2020
"A multinational, multicentre study on the psychological outcomes and associated physical symptoms amongst healthcare workers during COVID-19 outbreak.",32330593,906,None/Observatory,,19-Feb-20,17-Apr-20,59,No,,,Singapore and India,21 Apirl 2020
Clinical and Autoimmune Characteristics of Severe and Critical Cases with COVID-19.,32315487,21,Drug(s) | Oxygen therapy,Empirical antibiotics | Ribavirin | Hormones | Immunoglobulin (IVIG) | Arbidol,,,,No,,Retrospective,"Hubei, China",21 Apirl 2020
"CT imaging features of 4,121 patients with COVID-19: a meta-analysis.",32314805,"4,121",Other,,,,,Yes,,Retrospective,,21 Apirl 2020
Imaging characteristics of initial chest computed tomography and clinical manifestations of patients with COVID-19 pneumonia.,32318916,150,Other,,10-Jan-20,12-Feb-20,34,No,,Retrospective,"Wuhan, Hubei Province, China",21 Apirl 2020
Efficacy of glutathione therapy in relieving dyspnea associated with COVID-19 pneumonia: A report of 2 cases.,32322478,2,Drug(s),Glutathione,,,,No,Case report,,"New York, USA",21 Apirl 2020
"The clinical data from 19 critically ill patients with coronavirus disease 2019: a single-centered, retrospective, observational study.",32318325,19,None/Observatory,,16-Jan-20,20-Feb-20,36,No,"Single-centered, observational study.",Retrospective,"Wuhan, China",21 Apirl 2020
Clinical and Dynamic Computed Tomography Features of 24 Patients With Coronavirus Disease 2019.,32306755,24,Drug(s) | Other,Empirical antibiotics | Empirical Antivirals | Treatment for interstitial fibrosis: Pirfenidone),22-Jan-20,5-Feb-20,15,No,,Retrospective,"Dezhou, China",20-Apr-20
Down-regulated gene expression spectrum and immune responses changed during the disease progression in COVID-19 patients.,32307550,11,Drug(s),Empirical Antivirals | Glucocorticoids | Traditional Chinese medicine,31-Jan-20,7-Feb-20,8,No,,Retrospective,"Beijing, China",20-Apr-20
A Case Series of Recurrent Viral RNA Positivity in Recovered COVID-19 Chinese Patients.,32314129,20,Other,,,,,No,Observational study,Prospective,"Wenzhou, China",20-Apr-20
The profile of peripheral blood lymphocyte subsets and serum cytokines in children with 2019 novel coronavirus pneumonia.,32325129,56,Drug(s) | Other,Immunoglobulin (IVIG) | Oseltamivir  | Glucocorticoids | Interferon-α | Azithromycin,,,,No,,Retrospective,"Hubei, China",20-Apr-20
"Description of COVID-19 cases along with the measures taken on prevention and control in Zhejiang, China",32311151,889,None/Observatory,,27-Jan-20,3-Mar-20,37,No,,Retrospective," Zhejiang, China",20-Apr-20
"Positive result of Sars-Cov-2 in faeces and sputum from discharged patient with COVID-19 in Yiwu, China.",32311109,13,Other,,,,,No,,,"Yiwu, China",20-Apr-20
"Characteristics, symptom management and outcomes of 101 patients with COVID-19 referred for hospital palliative care.",32325167,101,None/Observatory,,4-Mar-20,26-Mar-20,23,No,Case series,,"London, England",20-Apr-20
Clinical Manifestation and Laboratory Characteristics of SARS-CoV-2 Infection in Pregnant Women.,32314274,8,Other,,,,,No,,Retrospective,"Wuhan, China",20-Apr-20
Cardiac injury is associated with mortality and critically ill pneumonia in COVID-19: A meta-analysis.,32331955,"2,389",None/Observatory,,,,,Yes,Observational studies,Retrospective,"Jakarta, Indonesia",19-Apr-20
